iteracion	Valor r1	Valor r2
1 	 10	 10
2 	 10.0136	 9.96758
3 	 10.0136	 9.96758
4 	 10.0184	 9.96014
5 	 10.0273	 9.9493
6 	 10.0569	 9.9232
7 	 10.0832	 9.8981
8 	 10.1039	 9.88135
9 	 10.1184	 9.86548
10 	 10.1359	 9.85177
11 	 10.1504	 9.83581
12 	 10.1677	 9.82209
13 	 10.1821	 9.80609
14 	 10.1993	 9.7923
15 	 10.2136	 9.77628
16 	 10.2307	 9.76241
17 	 10.2449	 9.74636
18 	 10.262	 9.73242
19 	 10.2761	 9.71634
20 	 10.2932	 9.70231
21 	 10.3071	 9.6862
22 	 10.3241	 9.67209
23 	 10.338	 9.65595
24 	 10.355	 9.64175
25 	 10.3688	 9.62559
26 	 10.3857	 9.6113
27 	 10.3994	 9.5951
28 	 10.4163	 9.58072
29 	 10.4299	 9.56449
30 	 10.4468	 9.55002
31 	 10.4603	 9.53375
32 	 10.4771	 9.51919
33 	 10.4906	 9.50289
34 	 10.5074	 9.48823
35 	 10.5207	 9.47189
36 	 10.5376	 9.45713
37 	 10.5508	 9.44076
38 	 10.5676	 9.4259
39 	 10.5808	 9.40949
40 	 10.5976	 9.39453
41 	 10.6107	 9.37808
42 	 10.6275	 9.36302
43 	 10.6406	 9.34652
44 	 10.6573	 9.33137
45 	 10.6704	 9.31483
46 	 10.6871	 9.29957
47 	 10.7001	 9.28298
48 	 10.7168	 9.26762
49 	 10.7297	 9.25099
50 	 10.7465	 9.23552
51 	 10.7593	 9.21885
52 	 10.7761	 9.20327
53 	 10.7889	 9.18656
54 	 10.8056	 9.17088
55 	 10.8184	 9.15412
56 	 10.8352	 9.13832
57 	 10.8479	 9.12152
58 	 10.8647	 9.10562
59 	 10.8774	 9.08877
60 	 10.8942	 9.07275
61 	 10.9068	 9.05586
62 	 10.9237	 9.03974
63 	 10.9363	 9.0228
64 	 10.9531	 9.00656
65 	 10.9657	 8.98959
66 	 10.9826	 8.97323
67 	 10.9952	 8.95621
68 	 11.0121	 8.93975
69 	 11.0246	 8.92269
70 	 11.0416	 8.90611
71 	 11.0541	 8.88901
72 	 11.0711	 8.87232
73 	 11.0836	 8.85518
74 	 11.1006	 8.83838
75 	 11.1131	 8.8212
76 	 11.1302	 8.80429
77 	 11.1427	 8.78707
78 	 11.1598	 8.77005
79 	 11.1723	 8.7528
